NUMBER,Name,Scent,Case Size,Original Price,Sale Price,10% TOTAL BILL,CANH CUT SALE PROMOTION,Retail Case Price,GIÁ OFFER NGÀY THƯỜNG,myVL Rules,Update
36,LP Lotion Gallon,Mango,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,,22.09.25
37,LP Lotion Gallon,Coconut Cream,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,Sale137/138,22.09.25
38,LP Lotion Gallon,French Rose,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,,22.09.25
39,LP Lotion Gallon,Green Tea,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,,22.09.25
40,LP Lotion Gallon,Lavender Purple,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,,22.09.25
41,LP Lotion Gallon,Lemon,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,Sale137/138,22.09.25
42,LP Lotion Gallon,Tropical Citrus,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£75.00,GIÁ THÙNG GIẢM 25% TỪ GIÁ GỐC £100,Sale137/138,22.09.25
43,LP Massage Oil Gallon (4 MÙI),Aloe Vera,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20%,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,Sale141 / Sale142,22.09.25
44,LP Massage Oil Gallon,Green Tea,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20%,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,,22.09.25
45,LP Massage Oil Gallon,Lavender Purple,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20%,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,Sale141 / Sale142,22.09.25
46,LP Massage Oil Gallon,Orange Tangerine Zest,4,£20.00,£18.00,£16.20,Lẻ OFF 10% - CASE OFF 20%,£72.00,GIÁ THÙNG GIẢM 10% TỪ GIÁ GỐC £80,Sale141 / Sale142,22.09.25
47,LP Massage Oil Gallon CASE,,,£80.00,£64.00,£57.60,CASE OFF 20%,,,,
48,Sea Salt ,,,X,X,X,,,,,22.09.25
49,LP Sea Salts Bucket,Spearmint Eucalyptus,1,£60.00,£54.00,£48.60,OFF 10%,,,,22.09.25
50,LP Sea Salts Gallon,Spearmint Eucalyptus,4,£20.00,£13.50,£12.15,OFF 10% MUA 3 TẶNG 1,£64.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £80,,22.09.25
51,LP Salts Tablet 10000pcs,Spearmint Eucalyptus,,£98.00,£88.20,£79.38,OFF 10%,,,,22.09.25
52,Scrub,,,X,X,X,,,,,22.09.25
53,LP Jojoba Scrub 12oz,Spearmint Eucalyptus,12,£12.00,,,,£80.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £100,,22.09.25
54,LP Jojoba Scrub Gallon,Spearmint Eucalyptus,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,£80.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £100,,22.09.25
55,LP Jojoba Scrub Gallon,Lemongrass,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,,,,22.09.25
56,LP Jojoba Scrub Gallon,Green Tea,4,£25.00,£16.88,£15.19,OFF 10% MUA 3 TẶNG 1,,,,22.09.25
57,LP Jojoba Scrub Bucket,Spearmint Eucalyptus,1,£70.00,£63.00,£56.70,OFF 10%,,,,
58,LP Jojoba Scrub Bucket,Green Tea,1,£70.00,£63.00,£56.70,OFF 10%,,,,
59,LP Jojoba Scrub Bucket,Lemongrass,1,£70.00,£63.00,£56.70,OFF 10%,,,,
60,Sugar Scrub ,,,X,X,X,,,,,22.09.25
61,LP Sugar Scrub 12oz,Tropical Citrus,12,£12.00,£12.00,£10.80,,,,,22.09.25
62,LP Sugar Scrub 12oz,Lemon,12,£12.00,£12.00,£10.80,,,,,22.09.25
63,LP Sugar Scrub Gallon,Tropical Citrus,4,£35.00,£23.63,£21.26,OFF 10% MUA 3 TẶNG 1,£112.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £140,,22.09.25
64,LP Sugar Scrub Gallon,Lemon,4,£35.00,£23.63,£21.26,OFF 10% MUA 3 TẶNG 1,£112.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £140,,22.09.25
65,LP Sugar Scrub Bucket,Tropical Citrus,1,£105.00,£94.50,£85.05,OFF 10%,,,,22.09.25
66,LP Sugar Scrub Bucket,Lemon,1,£105.00,£94.50,£85.05,OFF 10%,,,,22.09.25
67,LP Sugar Scrub Extreme 12oz,Orange Tangerine Zest,12,£15.00,£15.00,£13.50,,,,,22.09.25
68,LP Sugar Scrub Extreme 12oz,Lavender Purple,12,£15.00,£15.00,£13.50,,,,,22.09.25
69,LP Sugar Scrub Extreme Gallon,Orange Tangerine Zest,4,£40.00,£27.00,£24.30,OFF 10% MUA 3 TẶNG 1,£128.00,GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160,,22.09.25
70,LP Sugar Scrub Extreme Gallon,Lavender Purple,4,£40.00,£27.00,£24.30,OFF 10% MUA 3 TẶNG 1,,,,22.09.25
71,LP Sugar Scrub Extreme Bucket,Orange Tangerine Zest,1,£125.00,£112.50,£101.25,OFF 10%,,,,22.09.25
72,LP Sugar Scrub Extreme Bucket,Lavender Purple,1,£125.00,£112.50,£101.25,OFF 10%,,,,22.09.25
73,Flower Soap,,,X,X,X,,,,,22.09.25
74,LP Flower Soap 12oz  ( 8 Mùi),Orange No.5,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
75,LP Flower Soap 12oz,Rainbow,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
76,LP Flower Soap 12oz,Spearmint Eucalyptus CBD,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
77,LP Flower Soap 12oz,Lavender Eruption,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
78,LP Flower Soap 12oz,Tropical Citrus,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
79,LP Flower Soap 12oz,Honey Pearl,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
80,LP Flower Soap 12oz CBD,Fuji Pearl with CBD,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
81,LP Flower Soap 12oz CBD,Hot Lava with CBD,12,£15.00,£10.13,£9.11,LẺ 10% - MUA 3 TẶNG 1,,,,22.09.25
82,LP Flower Soap Gallon  ( 8 MÙI ),Orange No.5,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,,,,
83,LP Flower Soap Gallon,French Rose,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",Sale133 /. Sale134,22.09.25
84,LP Flower Soap Gallon,Rainbow,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",,22.09.25
85,LP Flower Soap Gallon,Spearmint Eucalyptus CBD,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",,22.09.25
86,LP Flower Soap Gallon,Lavender Purple,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",Sale133 /. Sale134,22.09.25
87,LP Flower Soap Gallon,Tropical Citrus,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",,22.09.25
88,LP Flower Soap Gallon,Honey Pearl,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",,22.09.25
89,LP Flower Soap Gallon CBD,Fuji Pearl with CBD,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",,22.09.25
90,LP Flower Soap Gallon CBD,Hot Lava with CBD,4,£40.00,£27.00,£24.30,LẺ 10% - MUA 3 TẶNG 1,£128.00,"MUA 4 TẶNG 1 MIX & MATCH, GIÁ THÙNG GIẢM 20% TỪ GIÁ GỐC £160",Sale133 /. Sale134,22.09.25
91,Luxury ,,,X,X,X,,,,,22.09.25
92,LP Pedicure Trays 4 step( 12 MÙI),Lemon Lime,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,Sale143/144,22.09.25
93,LP Pedicure Trays 4 step,Matcha Green Tea,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
94,LP Pedicure Trays 4 step,No.5,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
95,LP Pedicure Trays 4 step,Ocean Pearl,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
96,LP Pedicure Trays 4 step,Orange Tangerine Zest,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,Sale143/144,22.09.25
97,LP Pedicure Trays 4 step,Sweet Lavender Fields,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
98,LP Pedicure Trays 4 step,Aloe Vera CBD,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
99,LP Pedicure Trays 4 step,Lemongrass & Ginger CBD,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
100,LP Pedicure Trays 4 step,Milk & Honey CBD,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,Sale143/144,22.09.25
101,LP Pedicure Trays 4 step,Pure Peppermint CBD,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
102,LP Pedicure Trays 4 step,Romantic Rose CBD,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
103,LP Pedicure Trays 4 step,Tropical Island Mango CBD,24,£2.50,£1.75,£1.58,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 24 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,Sale143/144,22.09.25
104,LP Volcano 6 Step (10 scents ),Honey Pearl,24,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£45.00,case còn 45£,,22.09.25
105,LP Volcano 6 Step,Orange No.5,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
106,LP Volcano 6 Step,Romance,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
107,LP Volcano 6 Step,Tropical Citrus,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
108,LP Volcano 6 Step,Green Tea & Aloe,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
109,LP Volcano 6 Step,Lavender Eruption,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
110,LP Volcano 6 Step,Lemongrass Ginger,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
111,LP Volcano 6 Step,Jasmine,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
112,LP Volcano 6 Step,Acacia,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
113,LP Volcano 6 Step,Honeysuckle,36,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, CASE 36 HOẶC HƠN GIẢM 30%",£144.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
114,LP Collagen 10 Step (2 scents),Avocado,60,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£230.40,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
115,LP Collagen 10 Step,Jasmine,60,£4.80,£3.36,£3.02,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£230.40,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
116,LP Collagen 7 Step Bomber (6 scents),Crystal Waters,60,£4.50,£3.15,£2.84,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£216.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
117,LP Collagen 7 Step Bomber,Lavender Lace,60,£4.50,£3.15,£2.84,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£216.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
118,LP Collagen 7 Step Bomber,Lemon,60,£4.50,£3.15,£2.84,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£216.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
119,LP Collagen 7 Step Bomber,Luxury Pearl,60,£4.50,£3.15,£2.84,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£216.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
120,LP Collagen 7 Step Bomber,No.5 Perfume,60,£4.50,£3.15,£2.84,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£216.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",Sale139 / Sale140,22.09.25
121,LP Collagen 7 Step Bomber,Sweet Orange,60,£4.50,£3.15,£2.84,"OFF 10%, MUA TRÊN 10 MIX GIẢM 20%, SL>=36 GIẢM 30%",£216.00,"MUA TRÊN 10 GIẢM 10%, TRÊN 36 GIẢM 15% MIX & MATCH",,22.09.25
122,LP Fragrance Oil 2oz ( 20 MÙI ),Aloe Vera,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1 ,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
123,LP Fragrance Oil 2oz,Cucumber Cashmere,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1 ,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,Sale139 / Sale140,22.09.25
124,LP Fragrance Oil 2oz,Eucalyptus,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
125,LP Fragrance Oil 2oz,French Floral,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
126,LP Fragrance Oil 2oz,Fresh Linen,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
127,LP Fragrance Oil 2oz,Honey Pearl,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,Sale139 / Sale140,22.09.25
128,LP Fragrance Oil 2oz,Lavender Tea,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
129,LP Fragrance Oil 2oz,Lemon,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
130,LP Fragrance Oil 2oz,Lemongrass & Ginger,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
131,LP Fragrance Oil 2oz,Mademoiselle,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
132,LP Fragrance Oil 2oz,Mango,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
133,LP Fragrance Oil 2oz,Milk & Honey,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
134,LP Fragrance Oil 2oz,Orange Tangerine Zest,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
135,LP Fragrance Oil 2oz,Perfume No.5,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
136,LP Fragrance Oil 2oz,Raspberry Pomegranate,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,Sale139 / Sale140,22.09.25
137,LP Fragrance Oil 2oz,Romance,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
138,LP Fragrance Oil 2oz,Rose,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
139,LP Fragrance Oil 2oz,Spearmint,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
140,LP Fragrance Oil 2oz,Tea Tree,6,£15.00,£10.13,£9.11,OFF 10% - MUA 3 TẶNG 1,,MUA 5 TẶNG 1 - NGUYÊN HỘP 6 CHAI = £12,,22.09.25
